RK,TEAM,REC,PF,PA,PF/G,PA/G,DIFF,MOVES
1,Liam,6-6-0,1219,1241.4,101.6,103.4,-1.9,36
2,Rob,7-5-0,1110.3,1126.2,92.5,93.9,-1.3,24
3,Frank,9-3-0,1282.5,1095.6,106.9,91.3,15.6,92
4,Krum,8-4-0,1193.4,1141.3,99.5,95.1,4.3,22
5,Zach,6-6-0,1210.2,1147.9,100.9,95.7,5.2,29
6,Slaz,3-9-0,1207.8,1240.1,100.6,103.3,-2.7,77
7,Mike,4-8-0,1103.4,1293,92,107.7,-15.8,38
8,Sam,5-7-0,1238.3,1279.4,103.2,106.6,-3.4,75
