RK,TEAM,REC,PF,PA,PF/G,PA/G,DIFF,MOVES
1,Zach,7-5-0,1158.4,1114,96.5,92.8,3.7,13
2,Rob,6-6-0,1086.9,1000.3,90.6,83.4,7.2,25
3,Slaz,7-5-0,1148.6,1082.4,95.7,90.2,5.5,87
4,Frank,8-4-0,1211.7,1040,101,86.7,14.3,66
5,Sam,6-6-0,1246.9,1159.9,103.9,96.7,7.3,35
6,Mike,5-7-0,1093.6,1272.7,91.1,106.1,-14.9,35
7,Matt,4-8-0,948.4,1137.4,79,94.8,-15.7,12
8,Krum,5-7-0,1068,1155.9,89,96.3,-7.3,16
